architecture,environment,model_type,n_cells,persister_fraction,fold_enrichment,mean_protein,cv_protein
asymmetric,acidic_pH,single,10000,1.0,1.0,207.4067,0.17913701789650213
asymmetric,acidic_pH,two_species,10000,1.0,1.0,177.8041,0.20931815696063247
asymmetric,baseline,single,10000,1.0,1.0,197.3031,0.1851756832336831
asymmetric,baseline,two_species,10000,1.0,1.0,197.2234,0.19965197898642742
asymmetric,cholesterol,single,10000,1.0,1.0,239.9395,0.159445252733988
asymmetric,cholesterol,two_species,10000,1.0,1.0,240.6293,0.18273152628775421
asymmetric,host_like,single,10000,1.0,1.0,262.57,0.15221521026441853
asymmetric,host_like,two_species,10000,1.0,1.0,215.7539,0.19119906809695844
single_site,acidic_pH,single,10000,1.0,1.0,345.7304,0.15006777136633065
single_site,acidic_pH,two_species,10000,1.0,1.0,289.1955,0.16546219221814956
single_site,baseline,single,10000,1.0,1.0,342.348,0.14873204330515694
single_site,baseline,two_species,10000,1.0,1.0,341.3679,0.15105038939863535
single_site,cholesterol,single,10000,1.0,1.0,359.6049,0.14373403326175213
single_site,cholesterol,two_species,10000,1.0,1.0,359.7004,0.14891623630550818
single_site,host_like,single,10000,1.0,1.0,370.9475,0.13792709534349615
single_site,host_like,two_species,10000,1.0,1.0,292.4191,0.16391153411122078
symmetric,acidic_pH,single,10000,1.0,1.0,216.0813,0.17107528295123545
symmetric,acidic_pH,two_species,10000,1.0,1.0,187.663,0.20679081282379452
symmetric,baseline,single,10000,1.0,1.0,202.9981,0.18255703066519383
symmetric,baseline,two_species,10000,1.0,1.0,203.3333,0.19711852957393144
symmetric,cholesterol,single,10000,1.0,1.0,261.1745,0.14963030221353835
symmetric,cholesterol,two_species,10000,1.0,1.0,259.7374,0.17691994359218144
symmetric,host_like,single,10000,1.0,1.0,291.1408,0.13875231481121655
symmetric,host_like,two_species,10000,1.0,1.0,243.0924,0.18448284880183524
