architecture,environment,model_type,method,threshold_value,persister_fraction,fold_enrichment_vs_symmetric
asymmetric,acidic_pH,single,absolute_calibrated,112.0,0.0008,0.8889
asymmetric,acidic_pH,two_species,absolute_calibrated,112.0,0.0265,29.4444
asymmetric,baseline,single,absolute_calibrated,112.0,0.0028,3.1111
asymmetric,baseline,two_species,absolute_calibrated,112.0,0.0049,5.4444
asymmetric,cholesterol,single,absolute_calibrated,112.0,0.0,0.0
asymmetric,cholesterol,two_species,absolute_calibrated,112.0,0.0004,0.4444
asymmetric,host_like,single,absolute_calibrated,112.0,0.0,0.0
asymmetric,host_like,two_species,absolute_calibrated,112.0,0.0016,1.7778
single_site,acidic_pH,single,absolute_calibrated,112.0,0.0,0.0
single_site,acidic_pH,two_species,absolute_calibrated,112.0,0.0,0.0
single_site,baseline,single,absolute_calibrated,112.0,0.0,0.0
single_site,baseline,two_species,absolute_calibrated,112.0,0.0,0.0
single_site,cholesterol,single,absolute_calibrated,112.0,0.0,0.0
single_site,cholesterol,two_species,absolute_calibrated,112.0,0.0,0.0
single_site,host_like,single,absolute_calibrated,112.0,0.0,0.0
single_site,host_like,two_species,absolute_calibrated,112.0,0.0,0.0
symmetric,acidic_pH,single,absolute_calibrated,112.0,0.0002,0.2222
symmetric,acidic_pH,two_species,absolute_calibrated,112.0,0.0123,13.6667
symmetric,baseline,single,absolute_calibrated,112.0,0.0009,1.0
symmetric,baseline,two_species,absolute_calibrated,112.0,0.004,4.4444
symmetric,cholesterol,single,absolute_calibrated,112.0,0.0,0.0
symmetric,cholesterol,two_species,absolute_calibrated,112.0,0.0001,0.1111
symmetric,host_like,single,absolute_calibrated,112.0,0.0,0.0
symmetric,host_like,two_species,absolute_calibrated,112.0,0.0002,0.2222
asymmetric,acidic_pH,single,fold_change,136.67,0.0151,0.8297
asymmetric,acidic_pH,two_species,fold_change,117.33,0.0433,2.3791
asymmetric,baseline,single,fold_change,130.0,0.0181,0.9945
asymmetric,baseline,two_species,fold_change,130.0,0.0298,1.6374
asymmetric,cholesterol,single,fold_change,158.67,0.0088,0.4835
asymmetric,cholesterol,two_species,fold_change,158.67,0.0208,1.1429
asymmetric,host_like,single,fold_change,173.33,0.0058,0.3187
asymmetric,host_like,two_species,fold_change,142.0,0.0259,1.4231
single_site,acidic_pH,single,fold_change,228.67,0.0068,0.3736
single_site,acidic_pH,two_species,fold_change,190.67,0.0096,0.5275
single_site,baseline,single,fold_change,226.67,0.0051,0.2802
single_site,baseline,two_species,fold_change,226.67,0.0082,0.4505
single_site,cholesterol,single,fold_change,238.0,0.0031,0.1703
single_site,cholesterol,two_species,fold_change,238.0,0.0072,0.3956
single_site,host_like,single,fold_change,246.0,0.0028,0.1538
single_site,host_like,two_species,fold_change,193.33,0.0106,0.5824
symmetric,acidic_pH,single,fold_change,142.0,0.0117,0.6429
symmetric,acidic_pH,two_species,fold_change,124.0,0.0343,1.8846
symmetric,baseline,single,fold_change,134.0,0.0182,1.0
symmetric,baseline,two_species,fold_change,134.0,0.0274,1.5055
symmetric,cholesterol,single,fold_change,172.0,0.0044,0.2418
symmetric,cholesterol,two_species,fold_change,171.33,0.0172,0.9451
symmetric,host_like,single,fold_change,192.67,0.0019,0.1044
symmetric,host_like,two_species,fold_change,160.0,0.0188,1.033
asymmetric,acidic_pH,single,tail_fraction,123.0,0.0031,0.337
asymmetric,acidic_pH,two_species,tail_fraction,123.0,0.06,6.5217
asymmetric,baseline,single,tail_fraction,123.0,0.0097,1.0543
asymmetric,baseline,two_species,tail_fraction,123.0,0.0158,1.7174
asymmetric,cholesterol,single,tail_fraction,123.0,0.0001,0.0109
asymmetric,cholesterol,two_species,tail_fraction,123.0,0.001,0.1087
asymmetric,host_like,single,tail_fraction,123.0,0.0,0.0
asymmetric,host_like,two_species,tail_fraction,123.0,0.0046,0.5
single_site,acidic_pH,single,tail_fraction,236.0,0.0105,1.1413
single_site,acidic_pH,two_species,tail_fraction,236.0,0.1254,13.6304
single_site,baseline,single,tail_fraction,236.0,0.0096,1.0435
single_site,baseline,two_species,tail_fraction,236.0,0.0134,1.4565
single_site,cholesterol,single,tail_fraction,236.0,0.0028,0.3043
single_site,cholesterol,two_species,tail_fraction,236.0,0.0061,0.663
single_site,host_like,single,tail_fraction,236.0,0.0013,0.1413
single_site,host_like,two_species,tail_fraction,236.0,0.1151,12.5109
symmetric,acidic_pH,single,tail_fraction,127.0,0.0015,0.163
symmetric,acidic_pH,two_species,tail_fraction,127.0,0.0427,4.6413
symmetric,baseline,single,tail_fraction,127.0,0.0092,1.0
symmetric,baseline,two_species,tail_fraction,127.0,0.0169,1.837
symmetric,cholesterol,single,tail_fraction,127.0,0.0,0.0
symmetric,cholesterol,two_species,tail_fraction,127.0,0.0001,0.0109
symmetric,host_like,single,tail_fraction,127.0,0.0,0.0
symmetric,host_like,two_species,tail_fraction,127.0,0.0008,0.087
