architecture,environment,model_type,n_cells,persister_fraction,fold_enrichment,mean_protein,cv_protein,threshold_pct
asymmetric,acidic_pH,single,10000,1.0,1.0,207.4067,0.17913701789650213,p05
asymmetric,acidic_pH,two_species,10000,1.0,1.0,177.8041,0.20931815696063247,p05
asymmetric,baseline,single,10000,1.0,1.0,197.3031,0.1851756832336831,p05
asymmetric,baseline,two_species,10000,1.0,1.0,197.2234,0.19965197898642742,p05
asymmetric,cholesterol,single,10000,1.0,1.0,239.9395,0.159445252733988,p05
asymmetric,cholesterol,two_species,10000,1.0,1.0,240.6293,0.18273152628775421,p05
asymmetric,host_like,single,10000,1.0,1.0,262.57,0.15221521026441853,p05
asymmetric,host_like,two_species,10000,1.0,1.0,215.7539,0.19119906809695844,p05
single_site,acidic_pH,single,10000,1.0,1.0,345.7304,0.15006777136633065,p05
single_site,acidic_pH,two_species,10000,1.0,1.0,289.1955,0.16546219221814956,p05
single_site,baseline,single,10000,1.0,1.0,342.348,0.14873204330515694,p05
single_site,baseline,two_species,10000,1.0,1.0,341.3679,0.15105038939863535,p05
single_site,cholesterol,single,10000,1.0,1.0,359.6049,0.14373403326175213,p05
single_site,cholesterol,two_species,10000,1.0,1.0,359.7004,0.14891623630550818,p05
single_site,host_like,single,10000,1.0,1.0,370.9475,0.13792709534349615,p05
single_site,host_like,two_species,10000,1.0,1.0,292.4191,0.16391153411122078,p05
symmetric,acidic_pH,single,10000,1.0,1.0,216.0813,0.17107528295123545,p05
symmetric,acidic_pH,two_species,10000,1.0,1.0,187.663,0.20679081282379452,p05
symmetric,baseline,single,10000,1.0,1.0,202.9981,0.18255703066519383,p05
symmetric,baseline,two_species,10000,1.0,1.0,203.3333,0.19711852957393144,p05
symmetric,cholesterol,single,10000,1.0,1.0,261.1745,0.14963030221353835,p05
symmetric,cholesterol,two_species,10000,1.0,1.0,259.7374,0.17691994359218144,p05
symmetric,host_like,single,10000,1.0,1.0,291.1408,0.13875231481121655,p05
symmetric,host_like,two_species,10000,1.0,1.0,243.0924,0.18448284880183524,p05
asymmetric,acidic_pH,single,10000,1.0,1.0,207.4067,0.17913701789650213,p10
asymmetric,acidic_pH,two_species,10000,1.0,1.0,177.8041,0.20931815696063247,p10
asymmetric,baseline,single,10000,1.0,1.0,197.3031,0.1851756832336831,p10
asymmetric,baseline,two_species,10000,1.0,1.0,197.2234,0.19965197898642742,p10
asymmetric,cholesterol,single,10000,1.0,1.0,239.9395,0.159445252733988,p10
asymmetric,cholesterol,two_species,10000,1.0,1.0,240.6293,0.18273152628775421,p10
asymmetric,host_like,single,10000,1.0,1.0,262.57,0.15221521026441853,p10
asymmetric,host_like,two_species,10000,1.0,1.0,215.7539,0.19119906809695844,p10
single_site,acidic_pH,single,10000,1.0,1.0,345.7304,0.15006777136633065,p10
single_site,acidic_pH,two_species,10000,1.0,1.0,289.1955,0.16546219221814956,p10
single_site,baseline,single,10000,1.0,1.0,342.348,0.14873204330515694,p10
single_site,baseline,two_species,10000,1.0,1.0,341.3679,0.15105038939863535,p10
single_site,cholesterol,single,10000,1.0,1.0,359.6049,0.14373403326175213,p10
single_site,cholesterol,two_species,10000,1.0,1.0,359.7004,0.14891623630550818,p10
single_site,host_like,single,10000,1.0,1.0,370.9475,0.13792709534349615,p10
single_site,host_like,two_species,10000,1.0,1.0,292.4191,0.16391153411122078,p10
symmetric,acidic_pH,single,10000,1.0,1.0,216.0813,0.17107528295123545,p10
symmetric,acidic_pH,two_species,10000,1.0,1.0,187.663,0.20679081282379452,p10
symmetric,baseline,single,10000,1.0,1.0,202.9981,0.18255703066519383,p10
symmetric,baseline,two_species,10000,1.0,1.0,203.3333,0.19711852957393144,p10
symmetric,cholesterol,single,10000,1.0,1.0,261.1745,0.14963030221353835,p10
symmetric,cholesterol,two_species,10000,1.0,1.0,259.7374,0.17691994359218144,p10
symmetric,host_like,single,10000,1.0,1.0,291.1408,0.13875231481121655,p10
symmetric,host_like,two_species,10000,1.0,1.0,243.0924,0.18448284880183524,p10
asymmetric,acidic_pH,single,10000,1.0,1.0,207.4067,0.17913701789650213,p15
asymmetric,acidic_pH,two_species,10000,1.0,1.0,177.8041,0.20931815696063247,p15
asymmetric,baseline,single,10000,1.0,1.0,197.3031,0.1851756832336831,p15
asymmetric,baseline,two_species,10000,1.0,1.0,197.2234,0.19965197898642742,p15
asymmetric,cholesterol,single,10000,1.0,1.0,239.9395,0.159445252733988,p15
asymmetric,cholesterol,two_species,10000,1.0,1.0,240.6293,0.18273152628775421,p15
asymmetric,host_like,single,10000,1.0,1.0,262.57,0.15221521026441853,p15
asymmetric,host_like,two_species,10000,1.0,1.0,215.7539,0.19119906809695844,p15
single_site,acidic_pH,single,10000,1.0,1.0,345.7304,0.15006777136633065,p15
single_site,acidic_pH,two_species,10000,1.0,1.0,289.1955,0.16546219221814956,p15
single_site,baseline,single,10000,1.0,1.0,342.348,0.14873204330515694,p15
single_site,baseline,two_species,10000,1.0,1.0,341.3679,0.15105038939863535,p15
single_site,cholesterol,single,10000,1.0,1.0,359.6049,0.14373403326175213,p15
single_site,cholesterol,two_species,10000,1.0,1.0,359.7004,0.14891623630550818,p15
single_site,host_like,single,10000,1.0,1.0,370.9475,0.13792709534349615,p15
single_site,host_like,two_species,10000,1.0,1.0,292.4191,0.16391153411122078,p15
symmetric,acidic_pH,single,10000,1.0,1.0,216.0813,0.17107528295123545,p15
symmetric,acidic_pH,two_species,10000,1.0,1.0,187.663,0.20679081282379452,p15
symmetric,baseline,single,10000,1.0,1.0,202.9981,0.18255703066519383,p15
symmetric,baseline,two_species,10000,1.0,1.0,203.3333,0.19711852957393144,p15
symmetric,cholesterol,single,10000,1.0,1.0,261.1745,0.14963030221353835,p15
symmetric,cholesterol,two_species,10000,1.0,1.0,259.7374,0.17691994359218144,p15
symmetric,host_like,single,10000,1.0,1.0,291.1408,0.13875231481121655,p15
symmetric,host_like,two_species,10000,1.0,1.0,243.0924,0.18448284880183524,p15
