ratio,environment,persister_fraction,cv,mean_protein,threshold_used
1.0,baseline,1.0,0.18222700204871822,202.136,2057.0
1.0,cholesterol,1.0,0.14663566584319443,260.4145,2057.0
1.0,acidic_pH,1.0,0.16958939925037497,216.4245,2057.0
1.0,host_like,1.0,0.14037151411615462,290.862,2057.0
2.0,baseline,1.0,0.18670564342746568,196.4355,2057.0
2.0,cholesterol,1.0,0.15483405737449885,249.5435,2057.0
2.0,acidic_pH,1.0,0.1835032407121259,209.822,2057.0
2.0,host_like,1.0,0.14210861099258196,275.7715,2057.0
5.0,baseline,1.0,0.1855757600271659,195.793,2057.0
5.0,cholesterol,1.0,0.15650076246111813,239.647,2057.0
5.0,acidic_pH,1.0,0.18478539632160587,204.4235,2057.0
5.0,host_like,1.0,0.14472198830993951,265.4765,2057.0
8.0,baseline,1.0,0.18843174102834287,194.758,2057.0
8.0,cholesterol,1.0,0.16018614338750128,238.2145,2057.0
8.0,acidic_pH,1.0,0.18512716368236826,204.1675,2057.0
8.0,host_like,1.0,0.14919433538134025,264.185,2057.0
10.0,baseline,1.0,0.1861483445660515,196.0705,2057.0
10.0,cholesterol,1.0,0.16134232942536741,238.799,2057.0
10.0,acidic_pH,1.0,0.18126221558633038,204.03,2057.0
10.0,host_like,1.0,0.150165893736663,263.1945,2057.0
15.0,baseline,1.0,0.18732500596671706,195.6685,2057.0
15.0,cholesterol,1.0,0.15909846549688517,239.3585,2057.0
15.0,acidic_pH,1.0,0.18162720809780505,206.91,2057.0
15.0,host_like,1.0,0.15052890744919054,261.897,2057.0
20.0,baseline,1.0,0.19037557842728053,197.111,2057.0
20.0,cholesterol,1.0,0.15601625005993452,239.785,2057.0
20.0,acidic_pH,1.0,0.17266235039562683,207.5825,2057.0
20.0,host_like,1.0,0.15389246425754283,263.9435,2057.0
30.0,baseline,1.0,0.18568479798687365,199.94,2057.0
30.0,cholesterol,1.0,0.1596729100186663,241.5335,2057.0
30.0,acidic_pH,1.0,0.17762954106400994,210.1475,2057.0
30.0,host_like,1.0,0.14994396641790828,265.186,2057.0
40.0,baseline,1.0,0.1828242660046327,202.1945,2057.0
40.0,cholesterol,1.0,0.1604816244788222,246.1625,2057.0
40.0,acidic_pH,1.0,0.17455025818726813,212.237,2057.0
40.0,host_like,1.0,0.15371218057998687,267.868,2057.0
50.0,baseline,1.0,0.1799238583983893,204.6335,2057.0
50.0,cholesterol,1.0,0.16309253633001516,247.2675,2057.0
50.0,acidic_pH,1.0,0.17465592108613762,213.7735,2057.0
50.0,host_like,1.0,0.15213052720483952,268.542,2057.0
