dose_index,frac_symmetric,Kd_strong_nM,Kd_weak_nM,Kd_ratio,block_strong,block_weak,mean_protein,std_protein,cv,fano,persister_fraction,n_cells,threshold,delta_cv,noise_reduction_frac
0,0.0,2.4,48.99999999999999,20.416666666666664,0.85,0.5,197.3564,36.96660499717283,0.1873088736781418,6.924173145725213,0.5568,5000,200.8836774515499,0.027283741724804106,0.0
1,0.05263157894736842,2.5982714837683076,45.26085928074119,17.419603595502178,0.8395747495010666,0.5079958021326455,205.2436,37.17811589497644,0.18114141388562882,6.7344964788198025,0.4738,5000,200.8836774515499,0.02111628193229112,0.2260488995505351
2,0.10526315789473684,2.812922793068151,41.80704862920522,14.862494175890566,0.8291494990021331,0.515991604265291,214.1126,38.51597353415148,0.1798865341607709,6.928504988886488,0.3794,5000,200.8836774515499,0.01986140220743321,0.2720425809713307
3,0.15789473684210525,3.045307116362866,38.61679479488901,12.680755444137475,0.8187242485031997,0.5239874063979365,220.5104,39.14549738901228,0.17752222747322702,6.94919589204485,0.3244,5000,200.8836774515499,0.017497095519889316,0.35869882890797145
4,0.21052631578947367,3.2968894332343046,35.66998602213736,10.819284887920702,0.8082989980042663,0.5319832085305821,228.1564,40.11514656631342,0.17582301687050383,7.053166091491659,0.2552,5000,200.8836774515499,0.015797884917166133,0.4209780653800863
5,0.2631578947368421,3.56925574979573,32.94804526314211,9.231068764133179,0.7978737475053328,0.5399790106632276,235.0024,41.28867817246086,0.1756947085325974,7.254202277206726,0.2068,5000,200.8836774515499,0.015669576579259686,0.4256808051729132
6,0.3157894736842105,3.864123097070965,30.43381306592993,7.875994708605167,0.7874484970063994,0.5479748127958731,240.7924,41.62598523481881,0.17287084324430013,7.195919168417915,0.1652,5000,200.8836774515499,0.01284571129096243,0.5291807325941595
7,0.3684210526315789,4.183350355370819,28.11143939904974,6.71983864869427,0.777023246507466,0.5559706149285186,246.5394,41.5685510515739,0.16860814560096235,7.0087963081248095,0.1324,5000,200.8836774515499,0.008583013647624649,0.6854165482800445
8,0.42105263157894735,4.528949972905006,25.966283731009675,5.733400431966818,0.7665979960085325,0.5639664170611641,252.4106,42.38960466148123,0.16793908283361011,7.118871328528481,0.1036,5000,200.8836774515499,0.007913950880272413,0.7099389460545396
9,0.47368421052631576,4.903100652505136,23.984822734551596,4.891766340202919,0.7561727455095991,0.5719622191938096,259.1226,43.784794060017866,0.1689732738866385,7.39845999877346,0.0802,5000,200.8836774515499,0.00894814193330079,0.6720339158918996
10,0.5263157894736842,5.30816108643745,22.15456503391963,4.1736798626035245,0.7457474950106657,0.5799580213264552,262.6428,42.840278547801375,0.16311232802803416,6.9877775673013325,0.0658,5000,200.8836774515499,0.0030871960746964577,0.8868485083228216
11,0.5789473684210527,5.74668482589126,20.463972457678892,3.5610048362979625,0.7353222445117322,0.5879538234591007,267.8056,43.057224638365994,0.16077790994051652,6.922650585195798,0.0488,5000,200.8836774515499,0.0007527779871788209,0.9724092833464093
12,0.631578947368421,6.22143637888221,18.902387300652403,3.0382673951008963,0.7248969940127988,0.5959496255917462,272.5336,43.398381939318774,0.1592404824187505,6.910779276210311,0.0388,5000,200.8836774515499,-0.0007846495345872062,1.0287588682850588
13,0.6842105263157894,6.735408638053503,17.459965136426487,2.592265157867589,0.7144717435138654,0.6039454277243917,276.9996,44.34684801004109,0.1600971554112031,7.099804217860551,0.0368,5000,200.8836774515499,7.202345786538888e-05,0.9973602059940367
14,0.7368421052631579,7.291841748242149,16.127612756866252,2.2117337860156043,0.704046493014932,0.6119412298570372,279.891,45.21956303168083,0.16156133291774594,7.305732877356382,0.0272,5000,200.8836774515499,0.0015362009644082353,0.9436953706752161
15,0.7894736842105263,7.894243532753673,14.896930847404287,1.8870624887104204,0.6936212425159985,0.6199370319896828,283.8538,44.93235147198242,0.15829399314711456,7.112521335989727,0.0192,5000,200.8836774515499,-0.001731138806223137,1.0634494646549644
16,0.8421052631578947,8.546411607115106,13.760161036720369,1.6100512904462363,0.6831959920170652,0.6279328341223283,285.9432,45.33118746593138,0.15853214018004758,7.186450165877049,0.0176,5000,200.8836774515499,-0.0014929917732901254,1.0547209319142916
17,0.894736842105263,9.252457319714022,12.710136987006907,1.3737039305142946,0.6727707415181318,0.6359286362549739,289.3668,46.221133006313,0.15973198378774967,7.38299326801581,0.019,5000,200.8836774515499,-0.00029314816558803636,1.0107444267925147
18,0.9473684210526315,10.016831670248454,11.740239216487009,1.1720511637783975,0.6623454910191984,0.6439244383876194,290.8224,45.89412285186926,0.1578080741093852,7.242463140193013,0.015,5000,200.8836774515499,-0.0022170578439525135,1.081259303299186
19,1.0,10.844353369380766,10.844353369380766,1.0,0.6519202405202649,0.6519202405202649,293.0266,46.8916203308379,0.1600251319533377,7.503837730948148,0.0152,5000,200.8836774515499,0.0,1.0
