individual,Kd_strong,Kd_weak,block_strong,block_weak,Kd_ratio,fitness,mean_protein,cv,persister_fraction
0,0.46392229163882087,1000.0,0.05,0.05,2155.533411570862,4.02504,2012.52,0.06055414599014583,0.0
1,0.3046296017071225,689.3895735492005,0.05,0.05,2263.041968626524,3.9985500000000003,1999.275,0.05772516037498536,0.0
2,0.5250223400402896,689.3895735492005,0.11390063929930944,0.06137103067740143,1313.0671230033709,3.70775,1853.875,0.06584164402028198,0.0
3,0.8872302188048307,571.265678268646,0.059226279161173165,0.05,643.8753619530521,3.9932399999999997,1996.62,0.06967036136370282,0.0
4,0.24561230691738428,972.3268973810262,0.05,0.07200299835944873,3958.7873652767908,3.97735,1988.675,0.0625243796433141,0.0
5,0.2664123990891337,1000.0,0.05,0.05,3753.5790504458823,4.00788,2003.94,0.06230901579931887,0.0
6,0.18904428948368415,1000.0,0.05,0.08608005352661242,5289.765709036702,3.9103499999999998,1955.175,0.06349216498159205,0.0
7,0.5209170486757059,830.669409885516,0.12590686565667553,0.08782113997530311,1594.6289567547726,3.5912100000000002,1795.605,0.06505375187211339,0.0
8,0.6381238296339973,865.5628607385521,0.05,0.05,1356.4183322146187,4.00736,2003.68,0.05808897688236583,0.0
9,0.5941527061219278,684.3021729805623,0.14079923374170958,0.05,1151.727772893682,3.65071,1825.355,0.05901253567747469,0.0
10,0.46581811700282516,995.8861222640193,0.0806288041361426,0.05,2137.9291313780723,3.88586,1942.93,0.06446276060668688,0.0
11,0.23107744205347452,1000.0,0.05,0.10542123639057815,4327.553529732193,3.83486,1917.43,0.06585197302861516,0.0
12,0.190207574937797,1000.0,0.05,0.12374527456475437,5257.4141714757,3.77349,1886.745,0.06779664256407787,0.0
13,0.5537295506657338,562.3999220727792,0.05,0.05,1015.6581338247547,3.98933,1994.665,0.06290768315354224,0.0
14,0.3154754986175586,1000.0,0.05,0.0695016496577722,3169.8182723605732,3.9596,1979.8,0.063233713856986,0.0
15,0.2877065994843374,897.0291992651551,0.06466431216008545,0.10293424979507287,3117.8610461940025,3.8141700000000003,1907.085,0.06630195077396141,0.0
16,0.2474106871551514,987.7239559165594,0.10086792728507495,0.05893911011003768,3992.244503557589,3.77696,1888.48,0.06817906478837085,0.0
17,0.30150276696058065,997.612607373169,0.05,0.05,3308.800835992327,4.0359,2017.95,0.06580781714740555,0.0
18,0.14846731803497426,603.771562354532,0.0618616268627499,0.05,4066.696767650253,3.9575500000000003,1978.775,0.05659197700844517,0.0
19,0.41662525651142823,1000.0,0.06603248562437514,0.05,2400.238546201938,3.9516799999999996,1975.84,0.06722776310262744,0.0
20,0.548363955352838,271.5707855627023,0.07032421729972892,0.24393715895068685,495.238213437941,3.1933800000000003,1596.69,0.06460895883779272,0.0
21,0.457944867056777,277.0735939972507,0.05,0.05,605.0370119399079,3.97308,1986.54,0.059710042875240114,0.0
22,0.3995453946065668,342.7500012706921,0.05,0.05,857.8499612245531,3.9910799999999997,1995.54,0.06261684427150341,0.0
23,0.4199831835115967,1000.0,0.05527149174754614,0.09145050343070078,2381.0477163364512,3.88347,1941.735,0.06789497364110453,0.0
24,0.3575507991202595,1000.0,0.1234283814793028,0.08626561291037188,2796.805383907582,3.61273,1806.365,0.06819837670896567,0.0
25,0.4924337241482936,1000.0,0.05465599896314846,0.07494998537819372,2030.7301286677427,3.92704,1963.52,0.06434000773496358,0.0
26,1.616614090048896,1000.0,0.05,0.05,618.5768181506783,4.02593,2012.965,0.0661058588931454,0.0
27,0.3700226500537264,1000.0,0.07184948921325815,0.05,2702.5372632048397,3.93679,1968.395,0.06700307645042028,0.0
28,0.3995453946065668,1000.0,0.05,0.094157050431773,2502.84451654036,3.8784099999999997,1939.205,0.06510540639529214,0.0
29,0.4507195614761354,1000.0,0.06819019657978588,0.07290940161333581,2218.6745051067587,3.87305,1936.525,0.06626125743241991,0.0
