condition,metric,point,CI_lower,CI_upper
A,CV,0.18661939181768625,0.18542288748772853,0.1878238701268262
A,Fano,6.871772910500884,6.784483197524673,6.9543740383664785
A,intermediate_fraction,0.8598,0.830657,0.8777025
A,persister_fraction,1.0,1.0,1.0
B,CV,0.15669963046060145,0.15573872582425677,0.15772066492778103
B,Fano,7.184132701431385,7.098910875844205,7.271380361080689
B,intermediate_fraction,0.87892,0.856839,0.9123015
B,persister_fraction,0.97074,0.96928,0.97222
C,CV,0.14946451438313188,0.14851860009133602,0.1504310634538953
C,Fano,7.634963275900218,7.535480506302102,7.733994659873591
C,intermediate_fraction,0.89658,0.8320995,0.9281619999999999
C,persister_fraction,0.80336,0.79968,0.8066205
D,CV,0.05909997146875789,0.05873535801374028,0.05946032048285622
D,Fano,7.7680458094514275,7.674852005679072,7.861958006435559
D,intermediate_fraction,0.95874,0.927639,0.96018
D,persister_fraction,0.0,0.0,0.0
