Kd_ratio,Kd_strong,Kd_weak,environment,k_on_mult,gamma_mult,mean_protein,cv,growth_score,multi_round_survival,round1_survival,round4_survival,n_rounds
1.0,10.844353369380768,10.844353369380768,baseline,1.0,1.0,203.966,0.17579045711544644,0.407932,0.232,0.188,0.232,4
1.0,10.844353369380768,10.844353369380768,cholesterol,0.3,1.0,205.094,0.1836907908939219,0.410188,0.368,0.212,0.368,4
1.0,10.844353369380768,10.844353369380768,acidic_pH,0.7,1.2,234.074,0.16767015190683254,0.468148,0.284,0.196,0.284,4
1.0,10.844353369380768,10.844353369380768,oxidative,0.5,1.4,268.228,0.15880558068493553,0.536456,0.282,0.212,0.282,4
1.0,10.844353369380768,10.844353369380768,combined_macrophage,0.2,1.3,251.96,0.1551543493162842,0.50392,0.274,0.198,0.274,4
2.0,7.6681158050723255,15.336231610144653,baseline,1.0,1.0,196.664,0.17737617266910793,0.39332799999999996,0.234,0.208,0.234,4
2.0,7.6681158050723255,15.336231610144653,cholesterol,0.3,1.0,199.024,0.18971693495901995,0.398048,0.212,0.234,0.212,4
2.0,7.6681158050723255,15.336231610144653,acidic_pH,0.7,1.2,227.888,0.1667249878921976,0.455776,0.276,0.21,0.276,4
2.0,7.6681158050723255,15.336231610144653,oxidative,0.5,1.4,260.35,0.1684269859514538,0.5207,0.312,0.196,0.312,4
2.0,7.6681158050723255,15.336231610144653,combined_macrophage,0.2,1.3,247.5,0.16699796884943466,0.495,0.25,0.238,0.25,4
5.0,4.849742261192857,24.248711305964285,baseline,1.0,1.0,195.582,0.20107563866142464,0.391164,0.316,0.192,0.316,4
5.0,4.849742261192857,24.248711305964285,cholesterol,0.3,1.0,194.438,0.18886540163866636,0.388876,0.302,0.174,0.302,4
5.0,4.849742261192857,24.248711305964285,acidic_pH,0.7,1.2,227.672,0.16317486911221404,0.45534399999999997,0.246,0.204,0.246,4
5.0,4.849742261192857,24.248711305964285,oxidative,0.5,1.4,257.31,0.15587163248240915,0.51462,0.236,0.216,0.236,4
5.0,4.849742261192857,24.248711305964285,combined_macrophage,0.2,1.3,246.848,0.17015661498492324,0.493696,0.324,0.192,0.324,4
10.0,3.4292856398964493,34.292856398964496,baseline,1.0,1.0,191.93,0.18593488998910573,0.38386000000000003,0.278,0.232,0.278,4
10.0,3.4292856398964493,34.292856398964496,cholesterol,0.3,1.0,193.468,0.18416831026216945,0.386936,0.31,0.224,0.31,4
10.0,3.4292856398964493,34.292856398964496,acidic_pH,0.7,1.2,227.372,0.17128186170512805,0.45474400000000004,0.262,0.192,0.262,4
10.0,3.4292856398964493,34.292856398964496,oxidative,0.5,1.4,257.032,0.17217920084157567,0.514064,0.222,0.152,0.222,4
10.0,3.4292856398964493,34.292856398964496,combined_macrophage,0.2,1.3,241.724,0.17314148790559974,0.483448,0.228,0.212,0.228,4
20.4,2.400980191995124,48.979995916700524,baseline,1.0,1.0,194.73,0.18139960528120236,0.38946,0.256,0.212,0.256,4
20.4,2.400980191995124,48.979995916700524,cholesterol,0.3,1.0,195.812,0.1848890239391167,0.391624,0.276,0.198,0.276,4
20.4,2.400980191995124,48.979995916700524,acidic_pH,0.7,1.2,227.716,0.1778809441781045,0.455432,0.298,0.172,0.298,4
20.4,2.400980191995124,48.979995916700524,oxidative,0.5,1.4,262.342,0.1645480724133939,0.5246839999999999,0.268,0.228,0.268,4
20.4,2.400980191995124,48.979995916700524,combined_macrophage,0.2,1.3,246.234,0.16833741473567426,0.492468,0.276,0.166,0.276,4
30.0,1.9798989873223332,59.396969619669996,baseline,1.0,1.0,198.564,0.18655405690524196,0.397128,0.374,0.22,0.374,4
30.0,1.9798989873223332,59.396969619669996,cholesterol,0.3,1.0,198.576,0.19073970679398192,0.397152,0.378,0.234,0.378,4
30.0,1.9798989873223332,59.396969619669996,acidic_pH,0.7,1.2,230.874,0.17314647274796585,0.461748,0.306,0.234,0.306,4
30.0,1.9798989873223332,59.396969619669996,oxidative,0.5,1.4,262.36,0.1601685943771101,0.5247200000000001,0.246,0.222,0.246,4
30.0,1.9798989873223332,59.396969619669996,combined_macrophage,0.2,1.3,247.336,0.17545783981200377,0.494672,0.278,0.17,0.278,4
50.0,1.533623161014465,76.68115805072325,baseline,1.0,1.0,201.622,0.18581622148003776,0.40324400000000005,0.27,0.202,0.27,4
50.0,1.533623161014465,76.68115805072325,cholesterol,0.3,1.0,201.542,0.16985497608955244,0.403084,0.346,0.19,0.346,4
50.0,1.533623161014465,76.68115805072325,acidic_pH,0.7,1.2,237.826,0.169470276667227,0.47565199999999996,0.258,0.204,0.258,4
50.0,1.533623161014465,76.68115805072325,oxidative,0.5,1.4,269.274,0.16716845726943322,0.538548,0.224,0.216,0.224,4
50.0,1.533623161014465,76.68115805072325,combined_macrophage,0.2,1.3,255.516,0.16058126558388583,0.5110319999999999,0.258,0.222,0.258,4
