concentration,MI_bits,architecture
10.0,0.25472637732317216,asymmetric
30.0,0.2749176010634633,asymmetric
60.0,0.2691742484498864,asymmetric
100.0,0.27245222913959066,asymmetric
150.0,0.28310960580557276,asymmetric
200.0,0.2756681271751162,asymmetric
332.0,0.283825650975108,asymmetric
500.0,0.28502434178343244,asymmetric
800.0,0.29723966617668585,asymmetric
1200.0,0.2793458076978554,asymmetric
10.0,0.3728949459296255,symmetric
30.0,0.42780746626333505,symmetric
60.0,0.4327107621616004,symmetric
100.0,0.42966068628969684,symmetric
150.0,0.4246691666319673,symmetric
200.0,0.4381292167852821,symmetric
332.0,0.44267275033337233,symmetric
500.0,0.4360020618913614,symmetric
800.0,0.439692432630845,symmetric
1200.0,0.4329538800763866,symmetric
10.0,0.0398518286349453,single_site
30.0,0.04165267912058077,single_site
60.0,0.045465645017635385,single_site
100.0,0.03900272204083643,single_site
150.0,0.0384080853730634,single_site
200.0,0.044092891515094,single_site
332.0,0.040315254433613314,single_site
500.0,0.03971126897709499,single_site
800.0,0.03771345246505453,single_site
1200.0,0.042421105547698346,single_site
