locus_tag,gene,product,strand,prom_start,prom_end,prom_length,gc_content
Rv0002,dnaN,DNA polymerase III subunit beta,+,1751,2051,300,0.5666666666666667
Rv0005,gyrB,DNA gyrase subunit B,+,4997,5239,242,0.640495867768595
Rv0007,,membrane protein,+,9818,9913,95,0.6526315789473685
Rv0008c,,cell wall synthesis protein CwsA,-,12311,12467,156,0.6794871794871795
Rv0009,ppiA,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA,+,12311,12467,156,0.6794871794871795
Rv0010c,,membrane protein,-,13558,13713,155,0.4838709677419355
Rv0011c,,cell division protein CrgA,-,13995,14088,93,0.5698924731182796
Rv0012,,membrane protein,+,13995,14088,93,0.5698924731182796
Rv0018c,pstP,phosphoserine/threonine phosphatase PstP,-,23181,23269,88,0.75
Rv0019c,fhaB,FHA domain-containing protein FhaB,-,23737,23860,123,0.6666666666666666
Rv0020c,fhaA,FHA domain-containing protein FhaA,-,25444,25744,300,0.64
Rv0021c,,hypothetical protein,-,26881,27022,141,0.6312056737588653
Rv0022c,whiB5,transcriptional regulator WhiB5,-,27442,27594,152,0.5526315789473685
Rv0023,,transcriptional regulator,+,27442,27594,152,0.5526315789473685
Rv0026,,hypothetical protein,+,29607,29721,114,0.6666666666666666
Rv0027,,hypothetical protein,+,31068,31188,120,0.6916666666666667
Rv0029,,hypothetical protein,+,31819,32056,237,0.6371308016877637
Rv0030,,hypothetical protein,+,33154,33223,69,0.6086956521739131
Rv0032,bioF2,8-amino-7-oxononanoate synthase,+,33994,34294,300,0.6133333333333333
Rv0034,,hypothetical protein,+,36610,36866,256,0.578125
Rv0037c,,MFS-type transporter,-,41202,41303,101,0.6336633663366337
Rv0038,,hypothetical protein,+,41202,41303,101,0.6336633663366337
Rv0039c,,transmembrane protein,-,42351,42432,81,0.654320987654321
Rv0040c,mtc28,hypothetical protein,-,43365,43561,196,0.6428571428571429
Rv0041,leuS,leucine--tRNA ligase,+,43365,43561,196,0.6428571428571429
Rv0042c,,transcriptional regulator,-,47207,47365,158,0.569620253164557
Rv0043c,,HTH-type transcriptional regulator,-,48100,48232,132,0.5833333333333334
Rv0045c,,hydrolase,-,49939,50020,81,0.6296296296296297
Rv0046c,ino1,inositol-3-phosphate synthase,-,51124,51184,60,0.5333333333333333
Rv0047c,,hypothetical protein,-,51727,51827,100,0.53
Rv0048c,,membrane protein,-,52697,52830,133,0.6165413533834586
Rv0049,,hypothetical protein,+,52697,52830,133,0.6165413533834586
Rv0050,ponA1,bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase,+,53362,53662,300,0.7533333333333333
Rv0053,rpsF,30S ribosomal protein S6,+,57973,58191,218,0.6513761467889908
Rv0054,ssb,single-strand DNA-binding protein,+,58482,58585,103,0.6407766990291263
Rv0059,,hypothetical protein,+,63020,63199,179,0.6256983240223464
Rv0061c,,hypothetical protein,-,65350,65551,201,0.5870646766169154
Rv0062,celA1,cellulase CelA,+,65350,65551,201,0.5870646766169154
Rv0063,,oxidoreductase,+,66694,66922,228,0.7017543859649122
Rv0063a,,hypothetical protein,+,68362,68417,55,0.6363636363636364
Rv0065,vapC1,ribonuclease VapC1,+,71559,71820,261,0.6436781609195402
Rv0066c,icd2,isocitrate dehydrogenase,-,74511,74628,117,0.6153846153846154
Rv0067c,,transcriptional regulator,-,75198,75300,102,0.6176470588235294
Rv0068,,oxidoreductase,+,75198,75300,102,0.6176470588235294
Rv0070c,glyA2,serine hydroxymethyltransferase,-,78896,79196,300,0.67
Rv0071,,maturase,+,79185,79485,300,0.6033333333333334
Rv0072,,glutamine ABC transporter permease,+,80323,80623,300,0.6266666666666667
Rv0074,,hypothetical protein,+,82668,82747,79,0.7215189873417721
Rv0076c,,membrane protein,-,85572,85635,63,0.6507936507936508
Rv0077c,,oxidoreductase,-,86466,86527,61,0.4918032786885246
Rv0078,,transcriptional regulator,+,86466,86527,61,0.4918032786885246
Rv0078A,,hypothetical protein,-,87801,88101,300,0.6233333333333333
Rv0078B,,hypothetical protein,-,88004,88203,199,0.6080402010050251
Rv0079,,hypothetical protein,+,88004,88203,199,0.6080402010050251
Rv0081,,HTH-type transcriptional regulator,+,89480,89574,94,0.5851063829787234
Rv0089,,methyltransferase,+,97601,97757,156,0.6089743589743589
Rv0090,,membrane protein,+,98351,98479,128,0.609375
Rv0091,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,+,99383,99683,300,0.7
Rv0092,ctpA,cation transporter ATPase A,+,100451,100582,131,0.6183206106870229
Rv0094c,,hypothetical protein,-,104663,104804,141,0.7021276595744681
Rv0095c,,hypothetical protein,-,105215,105323,108,0.6111111111111112
Rv0096,PPE1,PPE family protein PPE1,+,105215,105323,108,0.6111111111111112
Rv0101,nrp,peptide synthetase Nrp,+,109778,110000,222,0.6171171171171171
Rv0102,,integral membrane protein,+,117539,117713,174,0.6206896551724138
Rv0103c,ctpB,cation-transporter P-type ATPase B,-,122173,122316,143,0.5804195804195804
Rv0104,,hypothetical protein,+,122173,122316,143,0.5804195804195804
Rv0105c,rpmB1,50S ribosomal protein L28,-,124264,124373,109,0.5137614678899083
Rv0106,,hypothetical protein,+,124264,124373,109,0.5137614678899083
Rv0107c,ctpI,cation-transporter ATPase I,-,130541,130841,300,0.6266666666666667
Rv0108c,,hypothetical protein,-,131104,131381,277,0.628158844765343
Rv0109,PE_PGRS1,PE-PGRS family protein PE_PGRS1,+,131104,131381,277,0.628158844765343
Rv0110,,integral membrane protein,+,132872,133019,147,0.6462585034013606
Rv0111,,acyltransferase,+,133769,133949,180,0.6111111111111112
Rv0112,gca,"GDP-mannose 4,6-dehydratase",+,136007,136288,281,0.5871886120996441
Rv0113,gmhA,phosphoheptose isomerase,+,137245,137318,73,0.4794520547945205
Rv0115a,,hypothetical protein,+,139673,139955,282,0.6099290780141844
Rv0116c,ldtA,"L,D-transpeptidase LdtA",-,141022,141199,177,0.6779661016949152
Rv0117,oxyS,oxidative stress response regulatory protein OxyS,+,141022,141199,177,0.6779661016949152
Rv0118c,oxcA,oxalyl-CoA decarboxylase OxcA,-,143876,144048,172,0.627906976744186
Rv0119,fadD7,fatty-acid--CoA ligase FadD7,+,143876,144048,172,0.627906976744186
Rv0120c,fusA2,elongation factor G,-,147771,147907,136,0.6176470588235294
Rv0121c,,hypothetical protein,-,148342,148490,148,0.6756756756756757
Rv0122,,hypothetical protein,+,148342,148490,148,0.6756756756756757
Rv0124,PE_PGRS2,PE-PGRS family protein PE_PGRS2,+,149232,149532,300,0.6566666666666666
Rv0125,pepA,serine protease PepA,+,150996,151147,151,0.6026490066225165
Rv0126,treS,trehalose synthase/amylase TreS,+,152215,152323,108,0.6759259259259259
Rv0127,mak,maltokinase,+,154129,154231,102,0.6862745098039216
Rv0128,,transmembrane protein,+,155599,155666,67,0.6567164179104478
Rv0129c,fbpC,diacylglycerol acyltransferase/mycolyltransferase Ag85C,-,157600,157846,246,0.6260162601626016
Rv0130,htdZ,3-hydroxyl-thioester dehydratase,+,157600,157846,246,0.6260162601626016
Rv0132c,fgd2,F420-dependent glucose-6-phosphate dehydrogenase,-,160782,160868,86,0.686046511627907
Rv0133,,GCN5-like N-acetyltransferase,+,160782,160868,86,0.686046511627907
Rv0134,ephF,epoxide hydrolase EphF,+,161474,161770,296,0.652027027027027
Rv0135c,,transcriptional regulator,-,163249,163365,116,0.5948275862068966
Rv0136,cyp138,cytochrome P450 Cyp138,+,163249,163365,116,0.5948275862068966
Rv0137c,msrA,peptide methionine sulfoxide reductase MsrA,-,165260,165322,62,0.6290322580645161
Rv0138,,hypothetical protein,+,165260,165322,62,0.6290322580645161
Rv0140,,hypothetical protein,+,166849,166909,60,0.6166666666666667
Rv0143c,,transmembrane protein,-,170182,170283,101,0.6534653465346535
Rv0144,,transcriptional regulator,+,170182,170283,101,0.6534653465346535
Rv0145,,S-adenosylmethionine-dependent methyltransferase,+,171126,171214,88,0.5340909090909091
Rv0147,,aldehyde dehydrogenase,+,173143,173237,94,0.5
Rv0148,,short-chain type dehydrogenase/reductase,+,174758,174832,74,0.6216216216216216
Rv0150c,,hypothetical protein,-,176952,177252,300,0.66
Rv0152c,PE2,PE family protein PE2,-,180896,181154,258,0.7054263565891473
Rv0154c,fadE2,acyl-CoA dehydrogenase FadE2,-,183198,183498,300,0.6033333333333334
Rv0155,pntAa,NAD(P) transhydrogenase subunit alpha PntAa,+,183321,183621,300,0.5966666666666667
Rv0157A,,hypothetical protein,-,186623,186784,161,0.6024844720496895
Rv0158,,transcriptional regulator,+,186623,186784,161,0.6024844720496895
Rv0159c,PE3,PE family protein PE3,-,188839,188930,91,0.6923076923076923
Rv0160c,PE4,PE family protein PE4,-,190439,190606,167,0.6287425149700598
Rv0161,,oxidoreductase,+,190439,190606,167,0.6287425149700598
Rv0164,TB18.5,hypothetical protein,+,193572,193625,53,0.6415094339622641
Rv0165c,mce1R,transcriptional regulator Mce1R,-,194815,194992,177,0.5875706214689266
Rv0166,fadD5,fatty-acid--CoA ligase FadD5,+,194815,194992,177,0.5875706214689266
Rv0167,yrbE1A,membrane protein,+,196657,196860,203,0.6305418719211823
